rank,title,authors,categories,description,published_year,average_rating,ratings_count,edition_count,isbn_10,isbn_13,source,source_id,canonical_url,thumbnail,popularity_score
83,An American Tragedy,Theodore Dreiser,thriller,,1900,,,176,,,openlibrary,OL100239W,https://openlibrary.org/works/OL100239W,https://covers.openlibrary.org/b/id/12728401-M.jpg,17.6
84,Secrets of the Dragon Sanctuary,Brandon Mull,"fantasy, Juvenile Fiction","When Kendra and Seth go to stay at their grandparents' estate, they discover that it is a sanctuary for magical creatures and that a battle between good and evil is looming.",2010,4.5,13,,1416990283,9781416990284,google,qjFlYdAhCiAC,http://books.google.com/books?id=qjFlYdAhCiAC&dq=subject:fantasy&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=qjFlYdAhCiAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,16.224980739587952
85,A Tale of Three Lions,H. Rider Haggard,thriller,,2004,,,162,,,openlibrary,OL17455W,https://openlibrary.org/works/OL17455W,https://covers.openlibrary.org/b/id/2009339-M.jpg,16.2
86,The Glass Menagerie,Tennessee Williams,"romance, Drama",The only single edition now available of this American classic about a mother obsessed with her disabled daughter.,1999,4,14,,0811214044,9780811214049,google,tWbVwZjv43kC,http://books.google.com/books?id=tWbVwZjv43kC&dq=subject:romance&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=tWbVwZjv43kC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,14.966629547095765
87,Keeper of the Lost Cities,Shannon Messenger,"fantasy, Juvenile Nonfiction","At age 12, Sophie learns that the remarkable abilities that have always caused her to stand out identify her as an elf. After being brought to Eternalia to hone her skills, she discovers that she has secrets buried in her memory for which some would kill.",2012,4.5,11,,1442445939,9781442445932,google,poq0maYov4MC,http://books.google.com/books?id=poq0maYov4MC&dq=subject:fantasy&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=poq0maYov4MC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,14.924811556599298
88,The Lord of the Rings,"j.r.r. tolkien, John Ronald Reuel Tolkien","fantasy, Fiction",Contains the complete set of the six books of Lord of the Rings.,2001,4.5,11,,,,google,ptHZAAAAMAAJ,http://books.google.com/books?id=ptHZAAAAMAAJ&dq=subject:fantasy&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=ptHZAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,14.924811556599298
89,The Cat in the Hat,Dr. Seuss,"fantasy, Juvenile Fiction",The Cat in the Hat entertains two children on a rainy day.,2012,4,13,,0449810860,9780449810866,google,VTu8i9vGUksC,http://books.google.com/books?id=VTu8i9vGUksC&dq=subject:fantasy&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=VTu8i9vGUksC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,14.422205101855956
90,The Harbinger,Jonathan Cahn,"thriller, Fiction","An anonymous man has received nine seals from The Prophet, with each seal containing mysterious sayings and prophecies from the Book of Isaiah about America's recent past and possible future destruction.",2011,4.5,10,,161638610X,9781616386108,google,nt2gYevSZrMC,http://books.google.com/books?id=nt2gYevSZrMC&dq=subject:thriller&hl=&as_pt=BOOKS&source=gbs_api,http://books.google.com/books/content?id=nt2gYevSZrMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,14.230249470757707
91,In Secret,Robert W. Chambers,thriller,,1919,,,142,,,openlibrary,OL8127199W,https://openlibrary.org/works/OL8127199W,https://covers.openlibrary.org/b/id/1844837-M.jpg,14.200000000000001
92,The Drums of Jeopardy,Harold MacGrath,thriller,,1920,,,140,,,openlibrary,OL2344450W,https://openlibrary.org/works/OL2344450W,https://covers.openlibrary.org/b/id/11351150-M.jpg,14.0
